New_ID,background,type,eyes,mouth,headphones,4:20 watch,hat under headphones,shirt,smoke,long hair,short hair,beard,hat over headphones,chain,1-Jan
116,red,plain mfer,ReguEyes,smile,BlacHead,SubBlac,None,CollShirGree,CigWhit,LongHairYell,None,None,None,None,None
117,blue,plain mfer,ReguEyes,smile,WhitHead,SubCola(BluRed),KnitBalt,HoodDownGree,CigWhit,None,None,None,None,None,None
118,red,plain mfer,ReguEyes,smile,BlacHead,SubLant(Gre,None,None,CigWhit,LongHairYell,None,None,None,None,None
119,red,plain mfer,ReguEyes,flat,BlacHead,SubRed,None,HoodDownBlue,CigBlac,LongHairYell,None,None,None,None,None
120,blue,plain mfer,ReguEyes,smile,RedHead,None,None,None,CigWhit,None,None,None,None,None,None
121,red,plain mfer,shades,smile,PinkHead,SubRed,None,HoodDownGree,CigBlac,LongHairBlac,None,None,None,None,None
122,green,plain mfer,ReguEyes,smile,WhitHead,None,None,None,CigBlac,LongHairYell,None,None,None,None,None
123,yellow,plain mfer,ReguEyes,smile,WhitHead,SubBlac,None,HoodDownBlue,None,LongHairBlac,None,None,None,None,None
124,red,plain mfer,ReguEyes,flat,BlacHead,SubBlac,HeadBlueWhit,CollShirBlue,CigWhit,None,None,None,None,None,None
125,orange,charcoal mfer,ReguEyes,smile,BlacHead,None,BandRed,None,CigBlac,None,None,None,None,None,None
126,blue,charcoal mfer,ReguEyes,smile,WhitHead,SubBlac,None,None,CigWhit,None,MohaPink,None,None,SilvChai,None
127,red,plain mfer,ReguEyes,smile,WhitHead,None,None,None,pipe,LongHairBlac,None,None,None,None,None
128,green,plain mfer,ReguEyes,smile,RedHead,SubLant(Gre,KnitLasVega,HoodDownBlue,None,LongHairBlac,None,None,None,None,None
129,blue,plain mfer,EyeMask,smile,PinkHead,None,None,None,CigBlac,None,None,None,None,None,None
130,green,plain mfer,EyeMask,flat,BlacHead,OystSilv,None,None,CigBlac,None,None,None,None,None,None
131,orange,charcoal mfer,ReguEyes,flat,RedHead,OystSilv,None,HoodDownGray,CigBlac,None,MohaPurp,None,None,None,None
132,blue,plain mfer,ReguEyes,smile,BlacHead,ArgoBlac,None,CollShirBlue,None,None,None,None,None,None,None
133,graveyard,zombie mfer,ZombEyes,smile,BlacHead,SubBlac,HeadBlueWhit,CollShirTurq,CigWhit,None,None,None,None,None,None
134,orange,plain mfer,ReguEyes,smile,WhitHead,None,None,None,CigWhit,None,MessRed,None,None,None,None
135,yellow,plain mfer,ReguEyes,smile,BlacHead,SubRed,BandDarkGray,None,CigWhit,None,None,None,None,None,None
136,orange,plain mfer,ReguEyes,smile,BlacHead,ArgoWhit,CapMono,None,CigWhit,None,None,FullBear,None,None,None
137,green,plain mfer,shades,smile,PinkHead,SubRed,HeadPinkWhit,CollShirBlue,CigWhit,LongHairBlac,None,None,None,None,None
138,yellow,charcoal mfer,ReguEyes,smile,BlacHead,SubBat(BluBlac,None,None,CigWhit,None,MohaBlac,None,None,None,None
139,green,plain mfer,ReguEyes,smile,PinkHead,None,None,HoodDownPink,CigWhit,None,None,None,None,None,None
140,orange,charcoal mfer,ReguEyes,flat,BlacHead,SubRose,None,None,CigBlac,None,MohaBlac,None,None,None,None
141,blue,charcoal mfer,ReguEyes,smile,RedHead,None,None,CollShirPink,CigBlac,LongHairYell,None,None,None,None,None
142,red,charcoal mfer,ReguEyes,smile,PinkHead,SubBlac,beanie,None,CigWhit,None,None,None,None,None,None
143,yellow,plain mfer,shades,smile,BlueHead,SubBlac,None,None,CigBlac,None,None,FullBear,hoodie,None,None
144,yellow,plain mfer,PurpShad,smile,BlueHead,SubRed,None,None,CigWhit,None,None,None,None,None,None
145,yellow,plain mfer,ReguEyes,smile,WhitHead,SubRed,HeadPinkWhit,CollShirPink,CigBlac,None,None,None,None,None,None
146,yellow,plain mfer,vr,flat,GreeHead,SubRed,None,CollShirPink,pipe,LongHairBlac,None,None,None,None,None
147,orange,plain mfer,ReguEyes,smile,BlacHead,SubBlac,None,HoodDownBlue,CigWhit,None,None,None,None,None,None
148,red,plain mfer,ReguEyes,flat,WhitHead,SubBlac,None,None,pipe,LongHairBlac,None,FullBear,None,None,None
149,red,plain mfer,ReguEyes,smile,BlacHead,None,None,CollShirBlue,CigWhit,None,None,None,None,None,None
150,red,plain mfer,ReguEyes,flat,BlacHead,OystSilv,None,HoodDownWhit,CigWhit,None,None,None,None,None,None
151,green,plain mfer,ReguEyes,flat,WhitHead,OystSilv,None,HoodDownBlue,CigWhit,None,None,None,None,None,None
152,blue,plain mfer,ReguEyes,smile,WhitHead,SubBlac,None,None,CigBlac,LongHairBlac,None,None,None,SilvChai,None
153,blue,charcoal mfer,ReguEyes,flat,BlacHead,None,None,None,CigWhit,None,None,None,None,SilvChai,None
154,red,charcoal mfer,ReguEyes,smile,BlacHead,None,None,None,CigBlac,None,None,FullBear,None,None,None
155,orange,plain mfer,PurpShad,smile,WhitHead,SubBlac,None,None,CigBlac,None,MohaGree,None,None,None,None
156,red,plain mfer,ReguEyes,smile,BlacHead,SubRed,None,HoodDownBlue,None,None,None,FullBear,None,None,None
157,green,charcoal mfer,ReguEyes,smile,GreeHead,OystSilv,None,HoodDownWhit,CigWhit,None,None,None,None,None,None
158,green,charcoal mfer,ReguEyes,smile,RedHead,SubBlac,None,None,CigBlac,LongHairYell,None,None,None,None,None
159,yellow,plain mfer,vr,flat,BlacHead,SubRed,None,CollShirGree,CigWhit,None,None,None,None,None,None
160,blue,plain mfer,3DGlas,flat,PinkHead,OystSilv,None,HoodDownGray,None,LongHairBlac,None,None,None,None,None
161,green,plain mfer,ReguEyes,flat,GreeHead,SubRed,None,None,CigWhit,None,MohaYell,None,None,None,None
162,red,charcoal mfer,ReguEyes,smile,BlacHead,SubRed,None,HoodDownWhit,CigWhit,None,None,None,None,None,None
163,green,charcoal mfer,ReguEyes,flat,BlacHead,None,None,HoodDownBlue,CigBlac,None,None,None,None,None,None
164,red,charcoal mfer,NerdGlas,flat,BlacHead,SubRed,None,HoodDownGree,CigBlac,None,None,None,None,None,None
165,blue,plain mfer,ReguEyes,smile,GreeHead,SubRed,None,None,CigWhit,LongHairBlac,None,None,None,None,None
166,orange,plain mfer,ReguEyes,flat,PinkHead,SubRose,None,CollShirWhit,None,None,None,None,None,None,None
167,red,charcoal mfer,ReguEyes,smile,BlacHead,SubBat(BluBlac,None,None,CigBlac,None,MessYell,FullBear,None,None,None
168,orange,plain mfer,ReguEyes,smile,BlacHead,SubTurq,None,CollShirBlue,CigWhit,None,None,None,None,None,None
169,red,plain mfer,ReguEyes,smile,BlacHead,OystSilv,None,CollShirBlue,CigWhit,LongHairYell,None,None,None,None,None
170,blue,plain mfer,ReguEyes,smile,RedHead,OystSilv,CapMono,None,CigWhit,LongHairBlac,None,None,None,None,None
171,orange,plain mfer,shades,smile,BlacHead,SubBlac,KnitSanFran,None,CigWhit,None,None,None,None,None,None
172,yellow,charcoal mfer,vr,smile,BlueHead,None,None,None,CigBlac,None,None,None,None,None,None
173,red,plain mfer,ReguEyes,smile,GreeHead,OystGold,None,None,pipe,None,MessPurp,None,None,GoldChai,None
174,orange,charcoal mfer,NerdGlas,smile,PinkHead,None,BandDarkGray,CollShirPink,CigWhit,LongHairBlac,None,None,None,None,None
175,yellow,charcoal mfer,ReguEyes,smile,GoldHead,OystSilv,None,None,CigWhit,LongHairBlac,None,None,None,None,None
176,blue,charcoal mfer,ReguEyes,flat,WhitHead,SubBlue,None,None,CigBlac,LongHairBlac,None,None,None,None,None
177,yellow,plain mfer,3DGlas,smile,RedHead,None,None,None,None,None,None,None,None,None,None
178,orange,plain mfer,ReguEyes,smile,BlacHead,ArgoWhit,None,None,CigWhit,None,None,None,None,None,None
179,red,plain mfer,ReguEyes,smile,BlacHead,SubBlue,HeadBlueRed,None,pipe,None,None,None,None,None,None
180,yellow,charcoal mfer,ReguEyes,smile,RedHead,SubBlac,BandBlue,None,None,LongHairBlac,None,None,None,None,None
181,green,charcoal mfer,PurpShad,smile,GreeHead,SubBlue,None,None,CigWhit,None,None,None,None,None,None
182,blue,charcoal mfer,shades,flat,BlacHead,OystSilv,None,CollShirBlue,pipe,None,None,None,None,None,None
183,yellow,charcoal mfer,PurpShad,flat,None,OystSilv,None,None,pipe,None,None,None,PiloHelm,None,None
184,blue,plain mfer,ReguEyes,smile,BlacHead,OystSilv,None,None,CigBlac,None,None,None,None,None,None
185,yellow,plain mfer,ReguEyes,smile,WhitHead,None,None,CollShirWhit,CigBlac,None,None,None,TopHat,None,None
186,red,plain mfer,ReguEyes,smile,BlacHead,SubBlue,None,HoodDownGray,CigWhit,None,MohaBlac,None,None,None,None
187,orange,plain mfer,ReguEyes,flat,RedHead,None,None,None,None,None,None,None,None,None,None
188,yellow,plain mfer,NerdGlas,smile,BlacHead,OystGold,None,None,CigWhit,None,None,None,None,None,None
189,green,charcoal mfer,ReguEyes,smile,WhitHead,SubBlac,None,None,None,None,None,None,CowbHat,None,None
190,green,plain mfer,shades,smile,LineHead,SubRed,None,None,CigWhit,LongHairYell,None,None,None,None,None
191,yellow,charcoal mfer,EyeMask,smile,PinkHead,SubBlac,HeadBlueGree,CollShirWhit,CigBlac,None,None,None,None,None,None
192,blue,charcoal mfer,ReguEyes,smile,BlacHead,OystSilv,None,CollShirWhit,CigWhit,None,MohaBlac,None,None,None,None
193,red,plain mfer,ReguEyes,flat,BlacHead,SubBlac,KnitBuff,CollShirBlue,CigWhit,None,None,None,None,None,None
194,orange,charcoal mfer,shades,smile,WhitHead,None,None,None,CigBlac,LongHairBlac,None,None,None,None,None
195,green,charcoal mfer,ReguEyes,smile,BlacHead,SubBlac,None,None,None,None,MohaGree,FullBear,None,None,None
196,yellow,plain mfer,ReguEyes,smile,WhitHead,None,None,None,None,LongHairBlac,None,None,None,None,None
197,orange,charcoal mfer,ReguEyes,smile,PinkHead,None,None,HoodDownBlue,CigWhit,None,None,None,None,None,None
198,blue,plain mfer,ReguEyes,flat,WhitHead,None,KnitClev,CollShirPink,CigBlac,None,None,None,None,None,None
199,orange,plain mfer,ReguEyes,smile,RedHead,None,KnitKc,None,None,LongHairYell,None,None,None,None,None
200,yellow,plain mfer,ReguEyes,smile,WhitHead,SubTurq,None,None,CigWhit,LongHairBlac,None,None,None,None,None
201,green,plain mfer,ReguEyes,smile,WhitHead,SubRed,None,None,CigWhit,LongHairBlac,None,None,None,None,None
202,yellow,plain mfer,ReguEyes,smile,PinkHead,None,None,None,CigWhit,None,None,None,hoodie,None,None
203,red,plain mfer,ReguEyes,smile,BlacHead,None,None,None,CigWhit,None,MohaYell,None,None,None,None
204,blue,charcoal mfer,ReguEyes,smile,BlacHead,ArgoBlac,BandDarkGray,CollShirWhit,CigWhit,None,None,None,None,None,None
205,red,plain mfer,ReguEyes,smile,RedHead,OystGold,None,None,CigWhit,None,None,None,None,None,None
206,graveyard,zombie mfer,ZombEyes,flat,PinkHead,SubLant(Gre,BeanMono,HoodDownGree,CigWhit,None,None,FullBear,None,None,None
207,green,charcoal mfer,ReguEyes,smile,PinkHead,SubBlue,None,CollShirTurq,CigBlac,LongHairBlac,None,None,None,None,None
208,blue,plain mfer,ReguEyes,smile,WhitHead,SubBlac,None,None,CigBlac,None,None,FullBear,None,None,None
209,yellow,charcoal mfer,ReguEyes,flat,BlacHead,None,None,None,CigBlac,None,MessPurp,None,None,None,None
210,orange,plain mfer,ReguEyes,smile,BlacHead,ArgoBlac,KnitBuff,None,CigWhit,None,None,FullBear,None,None,None
211,blue,charcoal mfer,shades,smile,BlacHead,None,None,None,CigBlac,None,MessRed,None,None,None,None
212,red,plain mfer,ReguEyes,smile,None,SubTurq,None,HoodDownGray,CigBlac,None,None,None,PiloHelm,None,None
213,orange,plain mfer,ReguEyes,smile,BlacHead,SubRed,None,HoodDownPink,CigBlac,None,MohaGree,None,None,None,None
214,blue,charcoal mfer,EyeMask,smile,GreeHead,SubBlac,None,None,CigBlac,LongHairBlac,None,None,None,None,None
215,blue,plain mfer,ReguEyes,smile,PinkHead,SubBlac,None,HoodDownBlue,CigWhit,None,MessYell,None,None,None,None
216,orange,charcoal mfer,3DGlas,flat,GoldHead,SubBlac,None,None,None,LongHairBlac,None,None,None,None,None
217,orange,plain mfer,ReguEyes,smile,BlacHead,SubBlac,None,None,None,None,MohaBlac,FullBear,None,None,None
218,orange,plain mfer,EyeMask,smile,BlacHead,SubBlac,KnitDall,None,None,None,None,None,None,None,None
219,blue,charcoal mfer,EyeMask,smile,BlacHead,None,KnitSanFran,CollShirGree,None,None,None,None,None,None,None
220,orange,charcoal mfer,ReguEyes,smile,GreeHead,None,None,None,CigWhit,LongHairBlac,None,None,None,None,None
221,red,plain mfer,PurpShad,smile,WhitHead,ArgoBlac,BandRed,CollShirBlue,None,None,None,FullBear,None,None,None
222,red,plain mfer,ReguEyes,smile,WhitHead,SubTurq,None,CollShirYell,CigBlac,None,None,FullBear,None,None,None
223,orange,charcoal mfer,ReguEyes,smile,BlacHead,OystSilv,KnitLasVega,CollShirPink,pipe,None,None,None,None,None,None
224,orange,plain mfer,ReguEyes,smile,BlacHead,SubLant(Gre,KnitSanFran,CollShirWhit,CigWhit,LongHairYell,None,None,None,None,None
225,orange,charcoal mfer,PurpShad,flat,WhitHead,OystGold,KnitNewYork,None,CigBlac,LongHairBlac,None,None,None,None,None
226,yellow,plain mfer,ReguEyes,smile,BlueHead,SubBlac,None,None,pipe,LongHairBlac,None,None,None,SilvChai,None
227,red,charcoal mfer,ReguEyes,smile,WhitHead,None,HeadPinkWhit,CollShirWhit,CigWhit,None,None,None,None,None,None
